candidate,provider,type,downloaded,local_path_or_url,coverage_relevance,decision,reason,formal_use
HK data.gov.hk OFCA and C&SD datasets,Hong Kong Government / OFCA / C&SD,official_public_data,yes,agent_knowledge/cmhk_macro_policy_2026-06-19/,"CMHK macro, telecom market, regulatory and institutional indicators",already_adapted,"Official downloadable/public data has already been normalized into the macro-policy package with row-level verification.",Use cmhk_macro_policy_2026-06-19 for macro and policy context.
SEC companyfacts AMZN,SEC,official_api_json,yes,data/external_dataset_candidates/sec_companyfacts/AMZN_CIK0001018724.json,AWS filing discovery and consolidated facts,augment_only,"Downloaded official JSON, but companyfacts does not provide a complete AWS cloud-segment quarterly operating series.",Use only as auxiliary filing discovery/cross-check.
SEC companyfacts MSFT,SEC,official_api_json,yes,data/external_dataset_candidates/sec_companyfacts/MSFT_CIK0000789019.json,Microsoft filing discovery and consolidated facts,augment_only,"Downloaded official JSON, but companyfacts does not provide a complete Intelligent Cloud / Azure comparable quarterly operating series.",Use only as auxiliary filing discovery/cross-check.
SEC companyfacts GOOGL,SEC,official_api_json,yes,data/external_dataset_candidates/sec_companyfacts/GOOGL_CIK0001652044.json,Alphabet filing discovery and consolidated facts,augment_only,"Downloaded official JSON, but companyfacts does not provide a complete Google Cloud quarterly operating series.",Use only as auxiliary filing discovery/cross-check.
SEC companyfacts ORCL,SEC,official_api_json,yes,data/external_dataset_candidates/sec_companyfacts/ORCL_CIK0001341439.json,Oracle filing discovery and consolidated facts,augment_only,"Downloaded official JSON, but companyfacts does not provide a complete Oracle Cloud services/product-line quarterly series with the needed scope controls.",Use only as auxiliary filing discovery/cross-check.
SEC Financial Statement Data Sets,SEC,official_bulk_xbrl_zip,source_page_cached,data/external_dataset_candidates/source_pages/sec_financial_statement_data_sets.html,US-listed company face financial statements,reject_replacement_possible_auxiliary,"Official quarterly ZIPs cover XBRL face financial statements since 2009, but they are not a substitute for full filings and do not solve target cloud segment/product-line boundaries.",Use only for auxiliary consolidated-statement checks after official filing review.
HKEX Historical Data Products corporate documents,HKEX,paid_document_archive,source_page_cached,data/external_dataset_candidates/source_pages/hkex_historical_data_products.html,Hong Kong listed company annual/interim/GEM quarterly report archive,reject_replacement_paid_archive,"HKEX sells historical corporate-document packages; these are document archives rather than a free structured operating-metric dataset with row-level verification fields.",Use only as possible source discovery if subscribed; current official report extraction remains primary.
FinancialReports.eu filing index/API,FinancialReports.eu,filing_index_api,source_page_cached,data/external_dataset_candidates/source_pages/financialreports_eu_home.html,Global public-company filing discovery,reject_replacement_possible_auxiliary,"Free web index and paid/API/S3 options index filings across markets, but do not provide audited target metric rows and include a no-guarantee disclaimer.",Use only for filing discovery or markdown reading if each value is reverified against official documents.
Finnhub / commercial fundamentals APIs,Finnhub and similar vendors,commercial_financial_api,no,https://finnhub.io/docs/api/financials,Global financial statement API,reject_replacement,"API products require access keys and do not preserve the project-required official evidence notes, verification_count, conflict status and source-gap controls.",Do not use for formal conclusions unless every data point is separately official-source verified and loaded into the audit schema.
Company IR filings and reports,Target companies,official_filings,partly_cached,agent_knowledge/quarterly_competitor_metrics_2026-06-18/sources.json,"Competitor and cloud operating metrics",keep_primary,"Official reports and filings remain the strongest row-level evidence for segment/product-line values and source-gap boundaries.",Use quarterly_competitor_metrics_2026-06-18 for formal conclusions.
Kaggle cloud service providers financials,Kaggle community dataset,secondary_dataset,no,https://www.kaggle.com/datasets/devaangbarthwal/cloud-service-providers-financials,Cloud vendor financials,reject_replacement,"Accessible metadata does not prove official row-level evidence, verification_count, conflict handling or source-gap controls.",Do not use for formal conclusions; at most use as a lead after official verification.
MacroMicro cloud chart,MacroMicro,secondary_chart,no,https://en.macromicro.me/charts/32809/google-cloud-revenue,Big tech cloud revenue chart,reject_replacement,"Public chart is not an official downloadable audited dataset and does not satisfy row-level source preservation.",Do not replace local audited package.
Synergy Research / Statista / Dataxis / commercial reports,Commercial research providers,market_research,no,web_search_results,Cloud market share and telecom profiles,reject_replacement,"Paywalled/secondary market research is useful context but cannot replace official operating metric rows.",Use only as qualitative context if separately cited.
